,publishedat,channeltitle,duration,viewcount,likecount,commentcount,juego
572,2021-01-20,Inkslasher,863,332827,7197.0,621.0,Call of Duty: Warzone
573,2021-01-08,Soki,831,332250,12139.0,335.0,Call of Duty: Warzone
574,2021-01-28,Soki,804,326735,20912.0,838.0,Call of Duty: Warzone
575,2021-01-15,Soki,681,295988,12855.0,571.0,Call of Duty: Warzone
576,2021-01-09,ALEDVAN,369,276674,8594.0,1170.0,Call of Duty: Warzone
577,2021-01-11,Champs Sports,747,269501,350.0,34.0,Call of Duty: Warzone
578,2021-01-01,Soki,920,264013,12454.0,317.0,Call of Duty: Warzone
579,2021-01-26,Soki,912,261199,13380.0,419.0,Call of Duty: Warzone
580,2021-01-22,Soki,725,248593,15090.0,542.0,Call of Duty: Warzone
581,2021-01-19,LoMasterYT,482,238355,8825.0,508.0,Call of Duty: Warzone
582,2021-01-29,Soki,843,215755,10263.0,310.0,Call of Duty: Warzone
583,2021-01-30,MortaL,653,207463,22053.0,982.0,Call of Duty: Warzone
584,2021-01-25,Soki,748,194063,13334.0,844.0,Call of Duty: Warzone
585,2021-01-09,Soki,822,192522,10097.0,253.0,Call of Duty: Warzone
586,2021-01-12,WhosImmortal,640,191506,4563.0,531.0,Call of Duty: Warzone
587,2021-01-06,YourSixGaming,144,191466,2064.0,302.0,Call of Duty: Warzone
588,2021-01-20,Soki,911,179472,9414.0,519.0,Call of Duty: Warzone
589,2021-01-03,ETERCRY,332,169854,4287.0,322.0,Call of Duty: Warzone
590,2021-01-25,Symfuhny,766,152754,5961.0,326.0,Call of Duty: Warzone
591,2021-01-03,WhosImmortal,500,150197,4522.0,661.0,Call of Duty: Warzone
592,2021-01-24,Xbox Series X and S Gameplay,689,149607,1701.0,489.0,Call of Duty: Warzone
593,2021-01-31,TheRed ZipiT,68,149471,837.0,3050.0,Call of Duty: Warzone
594,2021-01-15,DefendTheHouse,567,144311,5716.0,250.0,Call of Duty: Warzone
595,2021-01-16,Inkslasher,601,141875,5371.0,503.0,Call of Duty: Warzone
596,2021-01-11,wetfishface,90,141005,1723.0,620.0,Call of Duty: Warzone
597,2021-01-23,WhosImmortal,536,139061,3336.0,414.0,Call of Duty: Warzone
598,2021-01-01,WhosImmortal,1214,133065,3651.0,428.0,Call of Duty: Warzone
599,2021-01-22,Inkslasher,702,128887,5987.0,1813.0,Call of Duty: Warzone
600,2021-01-18,Apollo432,1597,123191,3116.0,118.0,Call of Duty: Warzone
601,2021-01-09,WhosImmortal,1042,118831,4023.0,642.0,Call of Duty: Warzone
602,2021-01-13,Inkslasher,537,99913,4288.0,610.0,Call of Duty: Warzone
603,2021-01-17,CRIPER,950,97370,5850.0,348.0,Call of Duty: Warzone
604,2021-01-11,IMAngelikaa,476,97715,2307.0,205.0,Call of Duty: Warzone
605,2021-01-25,Apollo432,1026,93908,2622.0,124.0,Call of Duty: Warzone
606,2021-01-13,WhosImmortal,592,87577,3422.0,373.0,Call of Duty: Warzone
607,2021-01-24,WayneO,491,83084,1509.0,389.0,Call of Duty: Warzone
608,2021-01-20,WhosImmortal,990,77846,3169.0,656.0,Call of Duty: Warzone
609,2021-01-21,CRIPER,782,73448,5528.0,356.0,Call of Duty: Warzone
610,2021-01-03,CRIPER,726,67939,5839.0,334.0,Call of Duty: Warzone
611,2021-01-09,ItsIlusion,486,65278,4059.0,433.0,Call of Duty: Warzone
612,2021-01-05,Tech Control,191,65847,378.0,698.0,Call of Duty: Warzone
613,2021-01-10,WhosImmortal,557,64226,2659.0,470.0,Call of Duty: Warzone
614,2021-01-29,WhosImmortal,548,62729,2120.0,556.0,Call of Duty: Warzone
615,2021-01-11,CRIPER,735,61765,4927.0,192.0,Call of Duty: Warzone
616,2021-01-31,Tu Tecnologia 5G,233,62190,1648.0,336.0,Call of Duty: Warzone
617,2021-01-16,WhosImmortal,1272,60420,1865.0,528.0,Call of Duty: Warzone
618,2021-01-11,zamber607,571,58493,761.0,119.0,Call of Duty: Warzone
619,2021-01-22,Twin Cherry Studio,833,56941,198.0,123.0,Call of Duty: Warzone
620,2021-01-31,LevelCapGaming,518,56411,2203.0,130.0,Call of Duty: Warzone
621,2021-01-22,WhosImmortal,602,54862,2140.0,316.0,Call of Duty: Warzone
622,2021-01-06,Jansn Benchmarks,586,53126,496.0,135.0,Call of Duty: Warzone
623,2021-01-04,HR Plays,611,52346,581.0,104.0,Call of Duty: Warzone
624,2021-01-31,WhosImmortal,664,50967,1930.0,378.0,Call of Duty: Warzone
625,2021-01-06,ZLANER,1819,49386,3083.0,282.0,Call of Duty: Warzone
626,2021-01-19,CRIPER,789,48172,3345.0,413.0,Call of Duty: Warzone
627,2021-01-17,WhosImmortal,560,46527,1977.0,449.0,Call of Duty: Warzone
628,2021-01-05,EL TITO,421,42949,338.0,97.0,Call of Duty: Warzone
629,2021-01-02,sikhwarrior,1019,42527,1134.0,164.0,Call of Duty: Warzone
630,2021-02-16,Call of Duty,139,2041835,67672.0,5865.0,Call of Duty: Warzone
631,2021-02-24,HunterTV,288,808819,44566.0,1987.0,Call of Duty: Warzone
632,2021-02-15,jackfrags,12281,705243,11846.0,261.0,Call of Duty: Warzone
633,2021-02-22,ScereBro PSNU,365,488831,10088.0,645.0,Call of Duty: Warzone
634,2021-02-10,WhosImmortal,582,476043,10975.0,1096.0,Call of Duty: Warzone
635,2021-02-06,jackfrags,564,403811,15954.0,437.0,Call of Duty: Warzone
636,2021-02-21,WhosImmortal,541,370216,9031.0,654.0,Call of Duty: Warzone
637,2021-02-17,CH14,1126,295753,13208.0,313.0,Call of Duty: Warzone
