,publishedat,channeltitle,duration,viewcount,likecount,commentcount,juego
121,2017-10-14,Ali-A,1202.0,7105593,113404.0,20242.0,Fortnite
122,2017-10-30,SSundee,1245.0,7056902,254453.0,12637.0,Fortnite
123,2017-10-29,DanTDM,688.0,6972171,104920.0,24834.0,Fortnite
124,2017-10-10,llStevell,355.0,5984930,100386.0,4874.0,Fortnite
125,2017-10-20,LOLiTO FDEZ,1523.0,5888742,242377.0,10119.0,Fortnite
126,2017-10-26,NoahJAFK,7642.0,5660409,54520.0,7654.0,Fortnite
127,2017-10-28,Ross,243.0,5337667,75850.0,6210.0,Fortnite
128,2017-10-20,Ali-A,751.0,4594463,82197.0,5439.0,Fortnite
129,2017-10-25,Ali-A,1095.0,4579377,97890.0,4493.0,Fortnite
130,2017-10-08,Ali-A,1261.0,4558404,82876.0,15743.0,Fortnite
131,2017-10-22,Ali-A,1277.0,4110098,99043.0,6224.0,Fortnite
132,2017-10-29,rhinoCRUNCH,1451.0,3734296,77583.0,7234.0,Fortnite
133,2017-10-03,Ninja,660.0,3708581,74283.0,4957.0,Fortnite
134,2017-10-17,LOLiTO FDEZ,1361.0,3180325,77928.0,2141.0,Fortnite
135,2017-10-13,rhinoCRUNCH,1248.0,3135637,91473.0,2783.0,Fortnite
136,2017-10-27,Willyrex,1275.0,2853904,94493.0,4802.0,Fortnite
137,2017-10-30,H2ODelirious,1402.0,2717096,65007.0,4526.0,Fortnite
138,2017-10-27,Ali-A,1277.0,2661708,46093.0,5352.0,Fortnite
139,2017-10-30,Ali-A,1154.0,2309877,62401.0,3497.0,Fortnite
140,2017-10-05,H2ODelirious,1474.0,2276425,38556.0,1586.0,Fortnite
141,2017-11-01,Ali-A,1408.0,2238905,40084.0,2376.0,Fortnite
142,2017-10-31,Ali-A,1210.0,2198195,50546.0,6464.0,Fortnite
143,2017-10-17,Ali-A,1181.0,2158180,37394.0,3722.0,Fortnite
144,2017-10-30,Red Arcade,605.0,2095418,25740.0,491.0,Fortnite
145,2017-10-12,dakotaz,1392.0,1946643,42636.0,4666.0,Fortnite
146,2017-10-11,Ninja,1241.0,1912985,36833.0,1393.0,Fortnite
147,2017-10-08,dakotaz,1255.0,1893919,28374.0,2493.0,Fortnite
148,2017-10-14,dakotaz,626.0,1700937,45248.0,3473.0,Fortnite
149,2017-10-10,FaZe Jev,673.0,1579094,64000.0,10468.0,Fortnite
150,2017-11-01,TheRussianBadger,667.0,1565465,32924.0,2037.0,Fortnite
151,2017-10-09,penguinz0,695.0,1493489,54774.0,2868.0,Fortnite
152,2017-10-19,LOLiTO FDEZ,1345.0,1460995,53711.0,3221.0,Fortnite
153,2017-10-31,M3RKMUS1C,392.0,1423577,46660.0,2522.0,Fortnite
154,2017-10-17,Daily Game Moments,621.0,1347381,12951.0,666.0,Fortnite
155,2017-10-20,wolfgang,189.0,1252001,9340.0,1311.0,Fortnite
156,2017-10-30,LOLiTO FDEZ,1448.0,1148051,34633.0,1630.0,Fortnite
157,2017-10-29,coreross,300.0,1115374,11965.0,1052.0,Fortnite
158,2017-10-11,TmarTn2,1399.0,1111872,19926.0,3231.0,Fortnite
159,2017-10-29,MrKeroro10,352.0,1096098,20352.0,1299.0,Fortnite
160,2017-10-21,dakotaz,1215.0,997884,27331.0,4965.0,Fortnite
161,2017-10-16,Drift0r,498.0,974164,14394.0,4188.0,Fortnite
162,2017-10-16,JayDee,243.0,955587,6925.0,1183.0,Fortnite
163,2017-10-19,FrostedInk,74.0,953917,6551.0,2079.0,Fortnite
164,2017-10-10,LOLiTO FDEZ,1275.0,942312,24528.0,863.0,Fortnite
165,2017-10-01,Hyenaah,130.0,938078,4826.0,728.0,Fortnite
166,2017-10-05,SXVXN,657.0,913580,8993.0,868.0,Fortnite
167,2017-10-18,LOLiTO FDEZ,1287.0,852778,25324.0,931.0,Fortnite
168,2017-10-07,SXVXN,626.0,846060,8465.0,685.0,Fortnite
169,2017-10-26,Cizzorz,1167.0,802080,14899.0,1949.0,Fortnite
170,2017-10-08,LOLiTO FDEZ,1255.0,800689,19166.0,725.0,Fortnite
171,2017-10-18,Numid World,524.0,788526,8501.0,1309.0,Fortnite
172,2017-10-28,SXVXN,677.0,781039,8391.0,505.0,Fortnite
173,2017-10-24,iBallisticSquid,1194.0,768532,7026.0,1149.0,Fortnite
174,2017-10-14,Avxry,656.0,755859,12975.0,5838.0,Fortnite
175,2017-10-03,OPscT,1447.0,736319,11698.0,936.0,Fortnite
176,2017-10-27,LOLiTO FDEZ,1361.0,734721,18231.0,803.0,Fortnite
177,2017-10-26,MM7Games,1726.0,731488,13456.0,742.0,Fortnite
178,2017-10-16,Valence,95.0,728154,5715.0,570.0,Fortnite
179,2017-10-06,SXVXN,642.0,712756,8167.0,1227.0,Fortnite
180,2017-10-29,dakotaz,1156.0,708420,19546.0,2390.0,Fortnite
181,2017-10-06,Typical Gamer,8689.0,709176,20336.0,1088.0,Fortnite
182,2017-10-27,Typical Gamer,10422.0,708785,18717.0,1056.0,Fortnite
183,2017-10-16,Daily Game Moments,612.0,700002,15160.0,2179.0,Fortnite
184,2017-10-30,Willyrex,1828.0,661444,29226.0,1076.0,Fortnite
185,2017-10-23,Sofurk,1137.0,653341,15199.0,1360.0,Fortnite
186,2017-10-03,StormenTV,1414.0,645649,10684.0,569.0,Fortnite
187,2017-10-05,Blitz,1143.0,631695,5462.0,349.0,Fortnite
188,2017-10-02,dakotaz,471.0,624372,19831.0,1386.0,Fortnite
189,2017-10-26,Vikkstar123,9494.0,551691,10625.0,573.0,Fortnite
190,2017-10-15,LOLiTO FDEZ,256.0,528767,23031.0,715.0,Fortnite
191,2017-10-09,dakotaz,1255.0,518721,17669.0,1590.0,Fortnite
192,2017-10-11,Avxry,616.0,478150,6624.0,445.0,Fortnite
193,2017-11-21,ZaeHD,190.0,64178104,370290.0,12274.0,Fortnite
194,2017-11-26,Ali-A,1616.0,16041096,241514.0,43679.0,Fortnite
195,2017-11-14,TheGrefg,660.0,8749154,473980.0,25914.0,Fortnite
196,2017-11-13,Ali-A,1339.0,7235995,225983.0,10525.0,Fortnite
197,2017-11-23,TheGrefg,692.0,6905271,334227.0,10737.0,Fortnite
198,2017-11-09,DanTDM,908.0,6867796,71862.0,14237.0,Fortnite
199,2017-12-01,Crazy1Ry,4987.0,5371328,63803.0,13374.0,Fortnite
200,2017-11-01,AboFlah,487.0,4895786,390315.0,21230.0,Fortnite
201,2017-11-27,LOLiTO FDEZ,1239.0,4485891,201775.0,3474.0,Fortnite
202,2017-11-02,CiccioGamer89,1107.0,4433854,181124.0,6417.0,Fortnite
203,2017-11-28,Ali-A,1264.0,4145766,56869.0,5693.0,Fortnite
204,2017-11-17,Ali-A,963.0,3996535,71165.0,6763.0,Fortnite
205,2017-11-05,Lachlan,765.0,3721846,97546.0,10301.0,Fortnite
206,2017-11-19,Ali-A,1362.0,3553599,117903.0,62517.0,Fortnite
207,2017-11-11,Cizzorz,1277.0,3433286,60037.0,1338.0,Fortnite
208,2017-12-01,SSundee,1205.0,3160688,109108.0,19694.0,Fortnite
209,2017-11-17,Muselk,688.0,3140315,23642.0,1319.0,Fortnite
210,2017-11-29,Typical Gamer,13451.0,2957336,11586.0,317.0,Fortnite
211,2017-11-05,Willyrex,1405.0,2518196,53269.0,1401.0,Fortnite
212,2017-11-26,Avxry,683.0,2269895,42967.0,1534.0,Fortnite
213,2017-11-24,Ali-A,1439.0,2197720,47294.0,12211.0,Fortnite
214,2017-11-19,LOLiTO FDEZ,1315.0,2192111,71431.0,2014.0,Fortnite
215,2017-11-28,REACT,596.0,2135491,28547.0,2642.0,Fortnite
216,2017-11-26,thatdenverguy,847.0,2086105,46340.0,9845.0,Fortnite
217,2017-11-07,H2ODelirious,1163.0,2047988,36525.0,1303.0,Fortnite
218,2017-11-01,Muselk,952.0,1980523,29400.0,2086.0,Fortnite
