,unnamed: 0.1,publishedat,channeltitle,duration,viewcount,likecount,commentcount,juego
8297,501,2022-02-17,Peyton Parrish,200.0,449747,11290.0,274.0,League of Legends
8298,502,2022-02-08,Teemo vs All,54.0,443940,23265.0,202.0,League of Legends
8299,503,2022-02-05,Stephanie Soo,2650.0,437866,18671.0,656.0,League of Legends
8300,504,2022-02-11,Ryscu,118.0,427644,8981.0,646.0,League of Legends
8301,505,2022-02-05,Skill Capped Challenger LoL Guides,1761.0,399895,11605.0,399.0,League of Legends
8302,506,2022-02-06,T B Skyen,27095.0,340925,11927.0,854.0,League of Legends
8303,507,2022-02-13,SkinSpotlights,363.0,317338,4528.0,257.0,League of Legends
8304,508,2022-02-01,SkinSpotlights,157.0,294239,5969.0,449.0,League of Legends
8305,509,2022-02-28,Outside Joke,836.0,291702,10680.0,685.0,League of Legends
8306,510,2022-02-28,Rubenoman,8040.0,305643,5744.0,112.0,League of Legends
8307,511,2022-02-21,Outside Joke,675.0,286804,12052.0,280.0,League of Legends
8308,512,2022-02-01,SkinSpotlights,124.0,283945,4119.0,311.0,League of Legends
8309,513,2022-02-15,Vars,933.0,273402,11515.0,1381.0,League of Legends
8310,514,2022-02-08,Carlie & Ange,1224.0,255643,9686.0,1245.0,League of Legends
8311,515,2022-02-15,SkinSpotlights,145.0,250612,5293.0,446.0,League of Legends
8312,516,2022-02-12,Aaron Fraser-Nash,270.0,250259,4918.0,310.0,League of Legends
8313,517,2022-02-02,theScore esports,481.0,242638,8332.0,874.0,League of Legends
8314,518,2022-02-13,SkinSpotlights,353.0,243568,2872.0,148.0,League of Legends
8315,519,2022-02-01,SkinSpotlights,217.0,231747,6138.0,618.0,League of Legends
8316,520,2022-02-13,Rav,839.0,229621,9460.0,810.0,League of Legends
8317,521,2022-02-15,Teemo vs All,93.0,228407,13037.0,180.0,League of Legends
8318,522,2022-02-23,Rav,668.0,217818,8257.0,339.0,League of Legends
8319,523,2022-02-13,SkinSpotlights,358.0,205860,2376.0,178.0,League of Legends
8320,524,2022-02-22,Vars,962.0,192063,9621.0,917.0,League of Legends
8321,525,2022-02-08,Zwag Xerath,2299.0,190808,6637.0,332.0,League of Legends
8322,526,2022-02-22,Skooch,1016.0,189927,9452.0,395.0,League of Legends
8323,527,2022-02-15,SkinSpotlights,152.0,178880,3051.0,203.0,League of Legends
8324,528,2022-02-28,Nicolai,602.0,171559,5185.0,289.0,League of Legends
8325,529,2022-02-08,Vars,904.0,167137,8235.0,886.0,League of Legends
8326,530,2022-02-04,Deiv Calviz,3634.0,151364,8651.0,256.0,League of Legends
8327,531,2022-02-13,SkinSpotlights,375.0,151565,2241.0,165.0,League of Legends
8328,532,2022-02-16,Ubaman,1439.0,138994,6035.0,227.0,League of Legends
8329,533,2022-02-19,Ubaman,1528.0,136739,5954.0,194.0,League of Legends
8330,534,2022-02-25,Manute,1789.0,125852,5955.0,584.0,League of Legends
8331,535,2022-02-14,Skill Capped Challenger LoL Guides,764.0,121833,2072.0,182.0,League of Legends
8332,536,2022-02-11,Croky LOL,101.0,120593,2915.0,256.0,League of Legends
8333,537,2022-02-11,Tarzaned,513.0,108546,4257.0,132.0,League of Legends
8334,538,2022-02-03,Diegomaximoff,837.0,104440,6005.0,700.0,League of Legends
8335,539,2022-02-23,13sonyan,259.0,105010,2645.0,98.0,League of Legends
8336,540,2022-02-08,ProGuides Challenger League of Legends Guides,273.0,101804,2259.0,469.0,League of Legends
8337,541,2022-02-12,XRDTH,2795.0,105339,2098.0,73.0,League of Legends
8338,542,2022-02-27,SkinSpotlights,306.0,95813,1274.0,99.0,League of Legends
8339,543,2022-02-11,League of Legends: Wild Rift,25.0,92726,5222.0,154.0,League of Legends
8340,544,2022-02-12,MisrraVB - League of Legends,740.0,86360,6177.0,105.0,League of Legends
8341,545,2022-02-16,Remus,83.0,86910,1834.0,191.0,League of Legends
8342,546,2022-02-24,Anber,527.0,95096,1369.0,232.0,League of Legends
8343,547,2022-02-27,Protatomonster,1075.0,79641,1109.0,38.0,League of Legends
8344,548,2022-02-02,Ubaman,1821.0,77906,5681.0,148.0,League of Legends
8345,549,2022-02-27,SkinSpotlights,426.0,75964,948.0,63.0,League of Legends
8346,550,2022-02-24,KNekroGamer,563.0,73097,4827.0,44.0,League of Legends
8347,551,2022-02-01,Solo Carry,655.0,69552,1373.0,50.0,League of Legends
8348,552,2022-02-16,Skill Capped Challenger LoL Guides,670.0,66276,2274.0,104.0,League of Legends
8349,553,2022-02-26,NT Leo,659.0,65882,4282.0,169.0,League of Legends
8350,554,2022-02-10,ChocolateKieran,2343.0,61157,3170.0,439.0,League of Legends
8351,555,2022-02-22,ProGuides Challenger League of Legends Guides,602.0,59352,1207.0,75.0,League of Legends
8352,556,2022-02-20,Anber,561.0,60518,1041.0,140.0,League of Legends
8353,557,2022-02-18,Skill Capped Challenger LoL Guides,745.0,57013,1706.0,67.0,League of Legends
8354,558,2022-02-16,NT Leo,644.0,56519,3676.0,86.0,League of Legends
8355,559,2022-02-18,Anber,485.0,59307,1171.0,127.0,League of Legends
8356,560,2022-02-05,Balor Skins,135.0,55278,913.0,53.0,League of Legends
8357,561,2022-02-14,LLA,21862.0,54031,911.0,3.0,League of Legends
8358,562,2022-03-28,DEATH BATTLE!,1227.0,2189409,100030.0,10917.0,League of Legends
8359,563,2022-03-02,I love my SUPP,26.0,1460638,51692.0,945.0,League of Legends
8360,564,2022-03-26,Powdersity,3782.0,1368295,15361.0,121.0,League of Legends
8361,565,2022-03-01,SkinSpotlights,194.0,995587,23720.0,1936.0,League of Legends
8362,566,2022-03-06,Caleb Hyles,184.0,847963,37034.0,828.0,League of Legends
8363,567,2022-03-01,SkinSpotlights,217.0,786962,17694.0,1372.0,League of Legends
8364,568,2022-03-24,SkinSpotlights,289.0,668171,12224.0,982.0,League of Legends
8365,569,2022-03-31,League of Legends,110.0,554661,16312.0,1027.0,League of Legends
8366,570,2022-03-20,TC Zwag,2625.0,491803,14140.0,1037.0,League of Legends
8367,571,2022-03-18,Ryscu,45.0,447331,14006.0,700.0,League of Legends
8368,572,2022-03-02,Ryscu,46.0,445877,9423.0,479.0,League of Legends
